N,lr,sr,set_n,KL,entropy
400,0.9400000000000001,0.9,17,0.16432449616143413,4.74380735484471
400,0.9400000000000001,0.9,17,0.7322342865773577,4.854814746793687
400,0.9400000000000001,0.9,17,1.096371630048588,4.9096498311946
400,0.9400000000000001,0.9,17,0.4170146002841747,4.778700239755183
400,0.9400000000000001,0.9,17,0.5314074775663773,4.774839774668097
400,0.9400000000000001,0.9,17,0.016125225547107106,4.633543645753829
400,0.9400000000000001,0.9,17,0.005431457566117664,4.4484591589082685
400,0.9400000000000001,0.9,17,0.07026369708533371,4.728680803289391
400,0.9400000000000001,0.9,17,0.6883273290762822,4.821451490098074
400,0.9400000000000001,1.0,18,0.7260259786605884,4.8667455516672185
400,0.9400000000000001,1.0,18,1.151908497754863,4.947713559353302
400,0.9400000000000001,1.0,18,0.3349575843789653,4.800197909151897
400,0.9400000000000001,1.0,18,1.5896721466294352,5.022035559072887
400,0.9400000000000001,1.0,18,0.10956429855626068,4.710839672789216
400,0.9400000000000001,1.0,18,0.04292561754653377,4.599137073248968
400,0.9400000000000001,1.0,18,0.840337642915206,4.777062217329128
400,0.9400000000000001,1.0,18,0.002819871539021225,4.652811757966363
400,0.9400000000000001,1.0,18,1.3704801515597156,4.937949285523279
400,0.9400000000000001,1.0,18,0.17177651822857673,4.662531369509402
400,0.9400000000000001,1.1,19,0.14178384243555084,4.7768263459428955
400,0.9400000000000001,1.1,19,1.2961074920625353,4.922470836992756
400,0.9400000000000001,1.1,19,0.014179589277374697,4.605710219057372
400,0.9400000000000001,1.1,19,0.9681744536776475,4.902481708798395
400,0.9400000000000001,1.1,19,0.1416871536615728,4.6681521749160275
400,0.9400000000000001,1.1,19,0.006591758373084284,4.644586967062471
400,0.9400000000000001,1.1,19,0.025947089344141125,4.681076065678883
400,0.9400000000000001,1.1,19,0.05556274670895893,4.7034750129147795
400,0.9400000000000001,1.1,19,0.1259906429471511,4.737814288667782
400,0.9400000000000001,1.1,19,0.3306856036015812,4.88779272716096
400,0.9400000000000001,1.2,20,0.3865454613939534,4.715571722334069
400,0.9400000000000001,1.2,20,1.3387031221329115,4.933281217407556
400,0.9400000000000001,1.2,20,0.057897684398454226,4.733695097801786
400,0.9400000000000001,1.2,20,0.663929977918561,4.883777016869358
